archivo,d1_mean_0,d1_mean_1,d1_mean_2,d1_mean_3,d1_mean_4,d1_mean_5,d1_mean_6,d1_mean_7,d1_mean_8,d1_mean_9,d1_mean_10,d1_mean_11,d1_mean_12,d1_mean_13,d1_mean_14,d1_mean_15,d1_mean_16,d1_mean_17,d1_mean_18,d1_mean_19,d1_std_0,d1_std_1,d1_std_2,d1_std_3,d1_std_4,d1_std_5,d1_std_6,d1_std_7,d1_std_8,d1_std_9,d1_std_10,d1_std_11,d1_std_12,d1_std_13,d1_std_14,d1_std_15,d1_std_16,d1_std_17,d1_std_18,d1_std_19,d2_mean_0,d2_mean_1,d2_mean_2,d2_mean_3,d2_mean_4,d2_mean_5,d2_mean_6,d2_mean_7,d2_mean_8,d2_mean_9,d2_mean_10,d2_mean_11,d2_mean_12,d2_mean_13,d2_mean_14,d2_mean_15,d2_mean_16,d2_mean_17,d2_mean_18,d2_mean_19,d2_std_0,d2_std_1,d2_std_2,d2_std_3,d2_std_4,d2_std_5,d2_std_6,d2_std_7,d2_std_8,d2_std_9,d2_std_10,d2_std_11,d2_std_12,d2_std_13,d2_std_14,d2_std_15,d2_std_16,d2_std_17,d2_std_18,d2_std_19
0_Negative_male_26.wav,-0.36315912,-0.26124564,0.015786784,0.09574457,0.16533934,0.09830104,0.022635821,0.07902234,0.08564079,0.00847591,0.017858384,0.056939326,0.055355273,0.031779762,0.012745525,0.026055455,0.026140314,0.01588354,-0.020991014,-0.01171207,30.73427,9.1955,7.12709,3.710165,5.482341,4.290234,4.385271,2.9710894,3.301869,1.9643991,1.8253326,2.3095765,1.6132517,1.5607594,1.6314014,1.715207,1.3531615,1.7162323,1.6609013,1.4403037,-0.24413946,-0.118762106,0.069095336,0.012667761,0.017988738,0.028876204,0.022885878,0.06683566,0.09232434,0.03725976,0.0008412387,0.008628248,0.026402533,0.032385606,0.023308316,0.0019178723,-0.018095026,-0.004043248,-0.015861034,-0.005607533,11.687999,4.0060973,3.3759997,1.9751524,2.4131048,2.205468,2.320449,1.6177872,1.6094743,1.2812537,1.187452,1.4693139,1.0747064,0.92221314,1.0638831,1.0868702,0.75674015,0.88459903,0.8880481,0.80228704
1001_Negative_male_30.wav,0.0013426273,0.00085969537,-0.0014124245,-0.0030852095,-0.0028572923,-0.0009795642,0.0010657914,0.0018975835,0.0013819197,0.0006001169,0.0007247742,0.0018656866,0.002953184,0.0027640332,0.0011423557,-0.000727405,-0.0012907891,-4.421249e-06,0.002104403,0.003230349,20.406477,5.0176926,6.0769534,3.4070878,4.8090653,3.2602522,4.5331445,1.7591697,1.988997,2.3065012,1.7536144,2.584753,2.0553823,1.9264799,1.7115703,1.3639649,1.9242549,2.0571568,1.5373936,1.4375037,-0.003973972,-0.0035075722,0.0011042252,0.0045057302,0.0041256845,0.00060552475,-0.0029302393,-0.0036879678,-0.0015804397,0.00090735673,0.0011559561,-0.0011088985,-0.0035595885,-0.003460802,-0.0003073862,0.0035251318,0.004772811,0.0021882285,-0.0022315518,-0.004834462,6.2273755,2.7418373,2.5773907,1.8837786,2.3065197,1.6675878,2.4133384,1.2647164,1.2647281,1.5748272,1.0216478,1.5441959,1.0775574,1.0870764,1.0400667,0.9321851,1.2698245,1.252687,1.1043954,1.0353439
1002_Negative_male_27.wav,-0.48998272,-0.2942686,0.10143671,0.033920288,-0.033900507,0.0070009804,-0.023890203,-0.009304196,0.039650947,0.06003678,0.10017826,0.023564123,-0.0036248479,0.022688372,0.044356316,-0.008012871,-0.00013942814,0.02147989,-0.011101383,-0.022717621,26.948828,5.7022705,6.3618093,4.5969257,2.4188187,1.4814892,2.5377777,1.7034343,1.4312543,1.5102315,2.1560986,1.3759508,1.7683917,2.134312,1.8909302,0.904106,1.3123869,0.9757948,1.429701,1.0428259,-0.107677564,-0.012130071,0.03390863,-0.043812487,-0.020246232,0.025803356,-9.948584e-05,0.012152982,0.042678986,0.0060214307,-0.01133411,-0.05174894,-0.007640032,0.0012791193,0.004978832,0.02909451,0.024432708,0.006875843,0.009798064,0.016456777,11.453414,2.6770036,2.1397474,2.2027743,0.9934325,0.85513186,1.3329941,1.132456,0.8540193,0.9435627,1.2199013,0.79377556,1.0459567,1.2269917,1.0728047,0.5973562,0.89769906,0.57527816,0.9621941,0.72579604
1003_Negative_male_30.wav,-6.967483e-08,-1.7418708e-08,0.0,0.0,-1.7418708e-08,-3.4837417e-08,-1.7418708e-08,-2.1773385e-09,1.7418708e-08,0.0,0.0,0.0,2.1773385e-09,8.709354e-09,8.16502e-09,-8.709354e-09,6.532016e-09,-2.1773385e-09,-4.899012e-09,-6.532016e-09,16.987318,5.492302,3.7309897,3.2351086,3.0116382,2.6107101,3.281066,2.2747023,2.1926763,1.6524168,1.8398314,1.2916403,1.6011521,1.9128249,1.7555922,1.422721,1.2481434,1.4535898,1.4804393,1.529461,1.12405104e-07,-8.709354e-09,-8.16502e-09,4.354677e-09,3.8103427e-09,-1.0886693e-09,4.354677e-09,7.620685e-09,2.1773385e-09,4.354677e-09,-2.1773385e-09,1.0886693e-09,1.0886693e-09,-4.354677e-09,-8.709354e-09,1.0070191e-08,3.5381753e-09,1.0886693e-09,-1.0886693e-09,-6.532016e-09,6.4481783,2.6905231,1.8453827,1.7234991,1.4459747,1.0342807,1.5202826,1.2242323,1.1446888,0.9761538,1.036187,0.78963023,0.79870856,1.0002385,0.8893054,0.8491807,0.72550225,0.80922174,0.86577517,0.83572286
1004_Negative_male_29.wav,-0.47067598,-0.51212716,-0.2257269,-0.03276643,0.06582717,0.109450065,0.09033433,0.064824104,0.07048283,0.06079607,0.035901472,0.034980115,0.03301697,0.013435677,0.014445714,0.031267803,0.024412105,0.007981869,0.015110517,0.035301853,30.74086,6.670739,5.3661423,3.1468298,3.1419191,2.2679164,3.0857482,1.8272097,3.2059314,1.5852168,1.5380592,1.5027366,1.6477202,1.9955844,1.5550576,1.2818449,1.7483975,2.029218,1.5290276,1.4576981,-0.0362572,-0.024403082,0.010642461,0.013555816,0.01273273,0.00918359,-0.01985002,-0.033495937,0.0038524696,0.041072153,0.034745444,0.014833109,0.006578132,-0.00011709758,-0.003305912,0.0009610091,-0.003295006,-0.013859687,-0.008343357,0.0055773156,10.715265,3.4247785,2.956859,1.5872273,1.4136157,1.0383599,1.2741777,1.1239158,1.3857311,1.0814909,0.91569024,0.89955693,1.0535837,1.0402691,1.0335333,0.8920149,0.81020087,1.3359971,1.2359662,0.962
1005_Negative_male_59.wav,-5.4168703e-07,7.629395e-09,-1.3351441e-08,-7.629395e-09,3.051758e-08,1.7166137e-08,3.051758e-08,1.525879e-08,0.0,-1.525879e-08,3.8146974e-09,0.0,-9.536743e-09,4.7683715e-09,-4.7683715e-09,-6.6757204e-09,3.8146974e-09,9.536744e-10,-1.9073487e-09,3.8146974e-09,26.034985,8.231928,3.9230137,3.2702103,5.7628036,3.6877055,5.1460495,2.0608072,2.1776485,2.5140977,1.6988424,2.2970383,1.503844,2.5488765,1.9965787,2.4701045,2.0506551,1.5441638,1.7142162,1.8200063,2.2125244e-07,4.005432e-08,1.9073487e-09,0.0,-7.629395e-09,0.0,1.1444092e-08,8.5830685e-09,3.8146974e-09,4.768372e-10,1.9073487e-09,-9.536744e-10,-1.1444092e-08,-1.0490417e-08,-7.629395e-09,-9.536743e-09,7.629395e-09,0.0,0.0,7.629395e-09,11.6807575,3.7817578,2.1945887,1.6638207,2.5731304,1.7000384,2.8997655,1.2723655,1.3675159,1.2998554,1.0389199,1.1907871,1.0720187,1.1863761,1.2387112,1.2444943,1.1406245,0.9863695,1.0845565,1.1036708
1006_Negative_male_20.wav,-0.11900542,0.0031036478,-0.030100254,0.09888779,0.24229757,-0.05351165,0.009312364,-0.0463688,-0.09584483,0.004720347,-0.15444367,-0.099422924,0.007739781,0.009729631,0.039716803,0.051717874,-0.010021175,-0.034177475,0.065297075,-0.05400942,27.33619,8.941469,5.880492,3.654195,3.818115,2.2492838,2.7942638,2.1530797,1.6334296,1.2993416,1.5551987,1.6458685,1.6278025,1.7855347,1.3637964,1.5814693,1.0621909,1.0728736,1.2075719,1.3139198,-0.14701872,-0.00935612,0.049871277,-0.011308554,0.044581432,0.017925398,0.046550184,-0.008615396,-0.03308156,-0.005623448,-0.016202394,0.03301715,0.0359862,0.045184482,0.044535067,0.02890367,0.01882342,0.017537002,0.040106338,-0.002984047,11.168045,3.4239519,3.0817547,2.061752,1.9341351,1.3277194,1.4980073,1.2578902,0.95912087,0.90395945,0.88010365,0.9294977,0.9612809,0.98212415,0.8244621,0.9746778,0.6759551,0.69521827,0.7211752,0.82444644
1007_Negative_female_44.wav,-0.9915313,-0.80422944,0.059919894,0.2416215,0.08584931,-0.04197788,-0.06561944,-0.0060387696,-0.0345384,-0.045729116,0.0259894,0.022326194,-0.009929712,-0.03951196,-0.041005418,0.0068330965,0.018265251,0.023116762,0.03478598,0.04489237,24.17474,10.622471,8.015025,5.130481,5.3889055,3.829889,4.166335,2.559552,2.3827066,2.3838995,2.08244,2.0778198,2.1992576,1.9615043,1.699726,1.5838487,2.104378,2.1676784,1.9510456,1.8506056,-0.27022618,-0.16293876,0.02490276,0.004092849,0.047618933,0.040616576,0.02703104,0.029304963,-0.017245978,-0.025069613,-0.017041778,-0.017890064,0.0053651035,0.026622897,0.01710715,0.01008124,0.011639464,0.006717739,0.035291225,0.049515,12.957175,6.0760818,3.9481273,3.1957395,3.2560098,2.2152102,1.8482562,1.5046577,1.266167,1.6221713,1.4652086,1.2041401,1.2332475,1.2986866,1.064034,1.0339881,1.2626148,1.6066893,1.2691486,1.2397317
1008_Negative_female_52.wav,0.00849058,0.007970537,0.002574652,0.0019038294,-0.000981613,-0.009545288,-0.012892236,-0.00555347,0.0021667557,0.0046254816,0.009345724,0.018045835,0.021104079,0.015616724,0.010254902,0.008711556,0.0046947715,-0.0027601914,-0.005218451,-0.0011042334,25.338688,6.8750844,5.2278132,4.1710052,3.8344495,3.31011,3.0347283,3.3328483,2.3690033,2.572901,2.3967392,2.0111048,1.9735005,1.6645762,2.2324386,1.839866,1.458181,1.3728968,1.1617754,1.6642305,0.0123765515,0.014154353,0.008570497,0.0052771983,0.00075661106,-0.006607902,-0.009898175,-0.0060227835,-0.0016046799,-0.00010015691,0.002816572,0.008010797,0.010119107,0.007501868,0.004996819,0.004749421,0.0025336982,-0.002751883,-0.0051237284,-0.0027990274,16.690104,4.3720474,2.8903115,2.306138,2.2209027,2.0318866,1.8251094,1.9882424,1.483856,1.6566803,1.5389587,1.2564588,1.2713051,1.1280892,1.4353974,1.1560795,1.0241761,0.94572705,0.7878833,1.173587
1009_Negative_female_27.wav,0.00030049979,0.0004249215,0.0004232049,0.00042041615,0.0004165031,0.00041155965,0.00040555373,0.00039855018,0.00039061607,0.0003818065,0.00037216768,0.00036177636,0.00035070852,0.0003390264,0.00032684952,0.000314226,0.00030126757,0.00028803348,0.00027465186,0.0002612006,21.170938,6.900268,3.7453978,3.8112798,8.036479,2.8417556,2.4901922,2.3471937,2.6371915,1.279695,1.5763257,1.4887708,1.446261,1.6982552,1.4373858,1.7842108,1.6742433,1.5957944,1.0707374,1.1857591,-0.0002444446,-0.00034457893,-0.000342682,-0.00033952,-0.00033511518,-0.0003295064,-0.00032274722,-0.00031487047,-0.00030593722,-0.0002960108,-0.000285165,-0.00027348156,-0.0002610311,-0.00024792552,-0.00023424029,-0.00022007078,-0.00020553842,-0.00019073076,-0.00017576106,-0.0001607392,9.032637,2.935396,1.8202857,2.005031,4.2150345,1.9761283,1.7360871,1.5636891,1.5124853,0.85054004,0.980957,0.8970251,0.880859,0.9412527,0.95779246,1.1147972,1.1342741,0.7603196,0.7237663,0.6188916
